Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
2,21/22,HNC Travel and Tourism,38423,HCTOUR07FT1-001,06/09/2021 00:00,24/06/2022 00:00,N,Not Running,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,NO,"This course has been designed to prepare students for a career in the Tourism sector. Core subjects of study include Structure of the Travel and Tourism Industry, Applying Marketing Principles in Travel and Tourism, Creating a Culture of Customer Care, Preparation for Employment in Travel and Tourism, Event Organisation, E-commerce and the Scottish Tourism Industry. Part of your study will be self-directed online. Through undertaking a work experience placement, students have the opportunity to consolidate new skills and knowledge developed throughout their course. Please read the Important Notice at www.borderscollege.ac.uk/uni.",SQA (Scottish Qualifications Authority),"Full-time 36 week course. Up to 3 days per week, with a mix of online and on-campus learning, and 1 day per week on work placement.","2 relevant Highers at grade C or above, or successful completion of a relevant NC programme, Foundation Apprenticeship within the same pathway/family, plus Communications at SCQF level 6 or equivalent. A Foundation Apprenticeship from a different pathway/family may be considered. Applicants with other formal academic qualifications and/or relevant employment experience will be considered on an individual basis. Selection may be subject to satisfactory interview session.",Scottish Borders Campus,Successful completion of the HNC Travel and Tourism may allow students to progress to a range of degree programmes. Students may wish to progress to employment within the Travel and Tourism sector.,HNC in Travel and Tourism at SCQF Level 7,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,DD,Higher National Certificate or equivalent,Higher National Diploma (HNC),07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=38423,,Business and Computing,Full Time
3,21/22,HND Business - Yr1,23235,HDBUSI08FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,YES,"This course has been designed to prepare students for possible progression to a Business degree course at University, and ultimately for a career in Business Administration and Management, enabling students to embrace the challenges presented in a business environment. Students may also seek employment following successful completion of the HND programme. A wide range of subjects are studied including Marketing, Management, Business Law, HR, Accounting and Economics. Essential employability skills and entrepreneurship are included in units such as Developing Entrepreneurial Skills. Through undertaking a work experience placement in year 1, students have the opportunity to consolidate new skills and knowledge developed throughout their course. Please read the Important Notice at www.borderscollege.ac.uk/uni",SQA (Scottish Qualifications Authority),"Full-time 36 week course. Up to 3 days per week, with a mix of online and on-campus learning, 1 day per week on work placement (Year 1 only)","2 relevant Highers at grade C or above, or successful completion of a relevant NC programme or a Foundation Apprenticeship in Business Skills, plus Communications at SCQF level 6 or equivalent. Applicants with other formal academic qualifications and/or relevant employment experience will be considered on an individual basis. Selection may be subject to satisfactory interview session.",Scottish Borders Campus,"Successful completion of Year 1 allows students to progress to HND Business Year 2 at Scottish Borders Campus. Successful completion of Year 2 may allow students to progress to a range of degree programmes at University, or on to employment within a business environment at administrator or supervisory level. Please read the Important Notice at www.borderscollege.ac.uk/uni",HND Business at SCQF Levels 7 and 8,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=23235,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=23235,Business and Computing,Full Time
4,21/22,HND Business - Yr2,23905,HDBUSI08FT2-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,NO,"This course has been designed to prepare students for possible progression to a Business degree course at University, and ultimately for a career in Business Administration and Management, enabling students to embrace the challenges presented in a business environment. Students may also seek employment following successful completion of the HND programme. A wide range of subjects are studied including Marketing, Management, Business Law, HR, Accounting and Economics. Essential employability skills and entrepreneurship are included in units such as Developing Entrepreneurial Skills.",SQA (Scottish Qualifications Authority),"Full-time 36 week course. Up to 4 days per week, with a mix of online and on-campus learning.",Successful completion of Year 1 allows students to progress to HND Business Year 2 at Scottish Borders Campus.,Scottish Borders Campus,"Successful completion of year 2 may allow students to progress to a range of degree programmes at University, or on to employment within a business environment at administrator or supervisory level. Please read the Important Notice at www.borderscollege.ac.uk/uni,",HND Business at SCQF Levels 7 and 8,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,DC,Higher National Diploma or equivalent,Higher National Diploma (HND),08 - HND/PDA Level 8/SVQ 4,8,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=23905,,Business and Computing,Full Time
5,21/22,Graduate Apprenticeship in Business Management,12971,GABUSM07PT1-001,13/09/2021 00:00,31/08/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,YES,YES,NO,"Graduate Level Apprenticeships provide work-based learning opportunities up to Master's degree level for employees. They have been created, in partnership with industry and the further and higher education sectors, to allow employees to complete an academic degree whilst continuing to work and contribute towards business development.The apprenticeships combine academic knowledge with skills development to enable participants to become more effective and productive in the workplace. Students continue their employment whilst being allocated time to attend class and study. Funding is available please contact us to discuss.Borders College are working in partnership with Heriot Watt University to offer the Graduate Apprenticeship in Business Management Programme. The first two years of the course are delivered by the College at the Scottish Borders Campus in Galashiels, with the subsequent two years in Edinburgh. If you would like to discuss this opportunity for yourself or your staff, please contact us via enquiries@borderscollege.ac.uk",Heriot Watt University,Online and on-campus based,Enquiry only,"Yrs 1 & 2 Borders College, Yrs 3 & 4 Heriot Watt UniversityOne-day per week day-release",,MA (Hons) Business Management,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Graduate Level Apprenticeship,Graduate Level Apprenticeship (GA),07 - Advanced Higher / Scottish Bacc/ HNC/ PDA Level 7/SVQ 3,7,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=12971,,,Part Time
6,21/22,"Business, Employability and Enterprise - SCQF Level 5",39756,NQBUSE05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,YES,"This is an intermediate course for people who are considering a career in Business or Administration. Students will study a wide range of subjects including IT (word processing, spreadsheets and database), Front of Office, Central Services, Marketing, Events, Understanding Business and Employability Skills. Workshops and study skills are included and students will have the opportunity to visit business organisations and receive visiting speakers from industry.",Scottish Qualifications Authority (SQA),"Full-time 36 week course. Up to 3 days per week, with a mix of online and on-campus learning, and 1 day per week on work placement.",3 relevant National 4 qualifications or equivalent including Core Skills. Selection may be subject to satisfactory interview session. Applicants with no formal qualifications will be considered on an individual basis.,Scottish Borders Campus,"On successful completion of this programme, students may progress on to Business, Events and Enterprise at SCQF Level 6, or gain employment within a business in a variety of administrative and/or business roles.","NPA Business and Marketing at SCQF Level 5, NPA Administration: Office Skills and Services at SCQF Level 5, NPA Enterprise and Employability at SCQF Level 5.",,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=39756,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=39756,Business and Computing,Full Time
7,21/22,Business and Enterprise - SCQF Level 6,27277,NQBUSE06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Full Time,,NO,YES,YES,NO,"This programme is designed for students who are considering a career in Business or Tourism. Students will study a wide range of units including Marketing, Finance, Understanding Business, Business Formation and IT (including word processing, spreadsheets and database). Optional units include Events, Administrative Services, Economics and Accounting. Through undertaking a work experience placement, students have the opportunity to consolidate new skills and knowledge developed throughout their course.",Scottish Qualifications Authority (SQA),"Full-time 36 week course. Up to 3 days per week, with a mix of online and on-campus learning, and 1 day per week on work placement.","Internal applicants: successful completion of the Business, Employability and Enterprise - SCQF Level 5 course (including Communications at Level 5 and Numeracy at Level 5). External applicants: 3 relevant National 5 qualifications or equivalent. Selection may be subject to satisfactory interview session. Applicants with no formal qualifications will be considered on an individual basis.",Scottish Borders Campus,"On successful completion of the course, students may progress to either the HNC Travel and Tourism, or year 1 of HND Business.","NPA Business Skills at SCQF Level 6, NPA Enterprise and Business at SCQF Level 6.",,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,34,National Qualification Award (college devised programme that will contain accredited units and may also contain small group award(s) but will not lead to a substantive accredited Group Award),,06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27277,,Business and Computing,Full Time
8,21/22,NPA Event Management - Schools Academy,27301,NPEVEN06PT1-001,19/08/2021 00:00,01/04/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,NO,YES,NO,This award offers an introduction to the events industry allowing knowledge and skills required to pursue employment or further study.,SQA,"This course will be delivered in 1 academic year over 29 weeks. Delivery will include 1 afternoon per week on campus, and 1 afternoon per week distance/online learning.","Some knowledge of word processing, graphics and spreadsheets. National 5 Award in Comms and/ or IT.","Scottish Borders Campus, Galashiels","Related Programmes you may move on to include HN Awards in Tourism, Hospitality, Business or Events",National Progression Award in Events (SCQF Level 6),,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,35,SQA National Progression Award,National Progression Award (NPA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Business and Computing,Part Time
9,21/22,Foundation Apprenticeship - Hospitality Skills - Level 4,34545,FAHOSP04PT1-001,19/08/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,NO,YES,NO,"The FA Hospitality is aimed at pupils who are looking for a career or qualifications in Hospitality. You will have the opportunity to learn in food production kitchens, serve food in our state of the art restaurant and undertake a work place challenge project.This programme will be delivered as blended learning. This means that part of your learning will be in class at the Scottish Borders Campus and part on line (COVID restrictions permitting )",Scottish Qualifications Authority,Online and on-campus.,"There are no strict entry requirements for the Foundation Apprenticeship, however students should be able to study and achieve at level 4 have an interest and enthusiasm in exploring this area of work and project-based learning. Students should be in S4 or S5.",Borders College,Foundation Apprenticeships at SCQF Level 4 can form part of and support learner progression in a number of ways. These include: Full time Hospitality Courses at Borders College Modern Apprenticeship Employment/Training opportunities,Foundation Apprenticeship in Hospitality Skills at SCQF Level 4,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Catering and Hospitality,Part Time
10,21/22,Foundation Apprenticeship - Hospitality Skills - Level 5,11679,FAHOSP05PT1-001,19/08/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,NO,YES,NO,"The FA Hospitality is aimed at pupils who are looking for a career or qualifications in Hospitality. You will have the opportunity to learn in food production kitchens, serve food in our state of the art restaurant and undertake a work place challenge project This programme will be delivered as blended learning. This means that part of your learning will be in class at the Scottish Borders Campus and part on line (COVID restrictions permitting )",Scottish Qualifications Authority,Online and on-campus,"There are no strict entry requirements for the Foundation Apprenticeship, however students should be able to study and achieve at level 5 have an interest and enthusiasm in exploring this area of work and project-based learning.",Borders College,Foundation Apprenticeships at SCQF Level 5 can form part of and support learner progression in a number of ways. These include: Full time Hospitality Courses at Borders College Modern Apprenticeship Employment/Training opportunities,Foundation Apprenticeship in Hospitality Skills at SCQF Level 5,,,,,,,,,,,,,,,,Catering and Hospitality,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,,,Catering and Hospitality,Part Time
11,21/22,Accountancy - Foundation Apprenticeship - Year 1 ,34538,FAACCO06PT1-001,19/08/2021 00:00,24/06/2022 00:00,L,Live,BET,"Business, Events and Tourism",Part Time,,NO,NO,YES,NO,"The Foundation Apprenticeship in Accountancy is for pupils in S5 and S6 and is anticipated to be delivered over 2 years. Over the course of the two years pupils complete the National Progression Award (NPA) in Accountancy at SCQF Level 6, the 3 units from the AAT professional qualification in Accounting at SCQF Level 6 and a work placement unit.The SQA National Progression Award (NPA) in Accounting at SCQF level 6 is delivered in year 1 and provides knowledge and an introduction to the skills that will help pupils to complete the professional qualification units. It develops an understanding of the principles, structure, processes and procedures used in the Accountancy sector and these qualifications are expected to both help learners undertake their work placement and increase employability.","SQA (Scottish Qualifications Authority), AAT (Association of Accounting Technicians)",Duration - Part Time 72 week courses over 2 x Academic Years. Year 1 will include 2 on campus/online sessions on a Tuesday and Thursday afternoon.,"Pupils must be starting S5 and need to be ready to work at SCQF Level 6 (the same as a higher). You will need to have:, A good level of written and spoken english, A good level of numeracy, An interest in finance, Motivated to succeed within industry, Communication and team working skills, Subject to Skills Assessment",Scottish Borders Campus,"There are several progression routes for the young person who has completed the 2-year FA in Accountancy: direct employment with an accountancy employer or in a related industry such asbusiness and finance progression into undertaking higher skills and training: the Level 3 Modern Apprenticeship in Accounting - as the FA includes units from theMA (AAT or ACCA) as the professional qualification skills and competence elementwhich would count as APL/RPL from the FA for these completed units. (This hasbeen confirmed by AAT and ACCA the Awarding Organisations). This would mean that the learner will not have to repeat those units and just undertake the remainingprofessional qualification units and other aspects of the MA framework. additional training and undertaking other qualifications to progress into accountancyroles including accountancy technician, advanced accountancy technician and otherrelated roles through to becoming a Chartered Accountant Entrance into University courses such as degrees and related courses universitiesin Scotland accept FAs as an entry route onto their courses and the new FA inAccountancy could be recognised as well for this route.",Year 1 - NPA in Accountancy at SCQF level 6Year 2 - AAT Advanced Certificate in BookkeepingFA Accountancy,,,,,,,,,,,,,,,,Business and Computing,,,,,,,,,,,40,Foundation Level Apprenticeship,Foundation Level Apprenticeship (FA),06 - Higher/ PDA Level 6/ SVQ 3,6,,,Business and Computing,Part Time
